,id_provincia,año,Total censo electoral,Total votantes,Votos en blanco,Votos nulos
0,1,2024,254452,126816,629,676
1,2,2024,300997,156264,1274,1383
2,3,2024,1296697,647621,4086,4363
3,4,2024,482959,217454,1443,1319
4,5,2024,128282,72682,667,796
5,6,2024,539240,256924,1936,3089
6,7,2024,819618,320458,2233,1787
7,8,2024,4086766,1827936,10745,7313
8,9,2024,278717,155032,1595,1477
9,10,2024,323183,159831,1046,2085
10,11,2024,994637,394589,3479,2940
11,12,2024,431175,231292,1785,1932
12,13,2024,385715,193172,1509,2142
13,14,2024,628898,305530,2761,3528
14,15,2024,924856,461627,3225,2642
15,16,2024,150630,83567,714,821
16,17,2024,540104,213849,1734,1547
17,18,2024,719996,347220,2301,2883
18,19,2024,196535,104362,822,924
19,20,2024,558713,280172,1434,882
20,21,2024,400846,162587,1383,1923
21,22,2024,167753,86503,849,653
22,23,2024,504186,249904,1760,3117
23,24,2024,374355,194682,1625,1646
24,25,2024,302790,120017,1094,970
25,26,2024,236604,124301,1031,1111
26,27,2024,268022,135327,1024,1118
27,28,2024,4964662,2796196,17905,15145
28,29,2024,1208150,527936,3837,4115
29,30,2024,1079608,521157,3021,3243
30,31,2024,494900,261631,2172,1638
31,32,2024,253396,131273,900,849
32,33,2024,836495,425919,3867,3018
33,34,2024,129879,74453,647,729
34,35,2024,864239,346477,2239,2537
35,36,2024,775917,394544,2414,3051
36,37,2024,268968,145984,1150,1299
37,38,2024,809168,334931,2151,2234
38,39,2024,470871,258648,2158,2388
39,40,2024,117132,68378,621,723
40,41,2024,1538086,730352,6523,7572
41,42,2024,69002,37420,327,239
42,43,2024,587501,238664,1607,1712
43,44,2024,101788,54608,413,477
44,45,2024,537594,270226,1775,3053
45,46,2024,1957588,1100251,7339,7276
46,47,2024,419035,246735,1958,1825
47,48,2024,903836,467235,2425,2137
48,49,2024,141528,73390,598,717
49,50,2024,721305,382733,3265,2059
50,51,2024,60883,19854,92,81
51,52,2024,55779,18501,107,73
52,1,2019,252209,162487,1464,1252
53,2,2019,303596,207171,2182,2100
54,3,2019,1285896,773707,5961,6378
55,4,2019,472104,289771,2535,3788
56,5,2019,129494,97475,1442,1263
57,6,2019,544591,375387,5039,5661
58,7,2019,792006,424598,5585,4576
59,8,2019,4032582,2571727,12782,7733
60,9,2019,282737,192669,2572,1732
61,10,2019,329580,237138,2931,3562
62,11,2019,975223,532324,6728,7182
63,12,2019,419144,278480,2738,2821
64,13,2019,391284,268890,3237,3453
65,14,2019,633755,405072,4406,5790
66,15,2019,930239,593107,7464,6042
67,16,2019,153901,117522,1578,1428
68,17,2019,515286,336109,2414,1662
69,18,2019,709664,453791,3989,7041
70,19,2019,184424,127041,1196,1100
71,20,2019,557659,368509,2951,2188
72,21,2019,396158,240220,3242,4190
73,22,2019,167411,112381,1891,1089
74,23,2019,515211,351725,3049,5367
75,24,2019,388050,254732,4139,2874
76,25,2019,300197,203587,2090,1083
77,26,2019,235688,162282,2173,1568
78,27,2019,279305,188914,2791,2862
79,28,2019,4800316,3230174,18500,13685
80,29,2019,1168823,675154,6193,8357
81,30,2019,1037860,649231,5339,5517
82,31,2019,485687,341929,5898,2539
83,32,2019,262270,179927,2041,2028
84,33,2019,857860,524574,7432,4535
85,34,2019,134557,96672,1371,1010
86,35,2019,834294,452198,7103,5040
87,36,2019,775126,505692,5556,5730
88,37,2019,276013,188006,2355,1821
89,38,2019,779158,451386,5991,3607
90,39,2019,465756,316375,5983,4085
91,40,2019,117708,86110,1301,1170
92,41,2019,1512705,917133,9094,12067
93,42,2019,70611,47882,1127,614
94,43,2019,560453,359750,3096,2066
95,44,2019,103694,73718,1404,1053
96,45,2019,516094,363719,3596,4259
97,46,2019,1919411,1277635,9451,8537
98,47,2019,420047,295954,3155,2330
99,48,2019,911674,594941,4526,2999
100,49,2019,149247,104161,1978,1419
101,50,2019,719822,480818,5302,3021
102,51,2019,59948,33103,251,317
103,52,2019,54215,32390,216,359
104,1,2014,248665,108262,1717,2007
105,2,2014,305232,145785,3587,3290
106,3,2014,1266522,578847,11375,16476
107,4,2014,459067,185533,4879,3053
108,5,2014,134070,67451,1822,2107
109,6,2014,549997,244210,5097,5829
110,7,2014,752259,274250,6264,4656
111,8,2014,3960198,1910024,31450,15264
112,9,2014,288068,143042,4821,3392
113,10,2014,337346,157073,3061,4209
114,11,2014,968720,363779,10352,5182
115,12,2014,418648,209017,4692,7226
116,13,2014,399963,182336,4290,4984
117,14,2014,640727,290639,9098,5942
118,15,2014,943944,411611,12465,9368
119,16,2014,158938,81258,1818,2004
120,17,2014,503531,238054,3855,2157
121,18,2014,706023,322881,7552,6258
122,19,2014,180198,86045,2005,1891
123,20,2014,555953,237838,4038,1720
124,21,2014,393173,149242,4196,3107
125,22,2014,170831,77436,2589,1476
126,23,2014,525314,260492,6383,6095
127,24,2014,404619,187075,5080,3791
128,25,2014,302036,137416,3129,1649
129,26,2014,234800,117196,3252,3141
130,27,2014,291258,133934,4179,3998
131,28,2014,4629271,2245855,43244,33993
132,29,2014,1129527,470632,12228,7426
133,30,2014,1003659,433045,9445,9255
134,31,2014,476642,217686,5825,3557
135,32,2014,273482,130471,3662,3292
136,33,2014,888718,381838,9547,5846
137,34,2014,139584,70980,1964,2017
138,35,2014,798300,298654,6683,6183
139,36,2014,779820,359471,9621,10056
140,37,2014,284194,130141,4093,2949
141,38,2014,745534,281316,6272,6341
142,39,2014,469378,220318,5353,5883
143,40,2014,120037,60938,1697,1695
144,41,2014,1496295,674773,17177,12340
145,42,2014,72084,32706,1123,750
146,43,2014,552531,247135,5131,3454
147,44,2014,107495,49168,1702,1406
148,45,2014,511403,236352,4567,7029
149,46,2014,1901794,999210,19761,20284
150,47,2014,424271,215167,5313,4200
151,48,2014,918323,420194,7233,4414
152,49,2014,158464,73273,1980,1609
153,50,2014,717567,340579,9632,5368
154,51,2014,59646,15988,570,298
155,52,2014,52905,14199,470,272
