Provincia,Número de declaraciones,Renta bruta media,Número de municipios,Rentas  del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de la autoliquidación,Renta disponible,Año,id_provincia
Almería,324413,21399,103,5364508,248592,6942160,277486,805141,5859690,2019,4
Cádiz,495879,24497,45,10065861,534092,12147515,484276,1479154,10184236,2019,11
Córdoba,351445,21879,77,6237946,279244,7689417,310722,900972,6477839,2019,14
Granada,403795,23515,174,7462988,436874,9495286,359094,1166851,7969631,2019,18
Huelva,239196,20972,80,4271150,192767,5016384,214973,563683,4237822,2019,21
Jaén,299266,20266,97,4862900,295386,6065031,231584,633952,5199653,2019,23
Málaga,696664,24712,103,13192984,724839,17216073,671936,2192832,14352482,2019,29
Sevilla,832025,25321,106,17101629,876983,21067958,850333,2802658,17415638,2019,41
Huesca,114378,25513,202,2281885,92455,2918147,116248,378463,2423483,2019,22
Teruel,69808,23356,236,1332318,48668,1630421,67621,198072,1364782,2019,44
Zaragoza,524938,27827,292,11900364,476981,14607403,586964,2066240,11954539,2019,50
Asturias,518251,27448,78,11745018,618827,14224740,542326,1932848,11750771,2019,33
"Balears, Illes",550891,29736,67,11815380,424500,16381423,613986,2446093,13321780,2019,7
"Palmas, Las",486470,25636,34,9775256,405672,12470922,498211,1590144,10383031,2019,35
Santa Cruz de Tenerife,434873,24474,54,8369344,298501,10643210,419354,1316068,8907979,2019,38
Cantabria,288367,27010,102,6343259,266305,7788696,301861,1038805,6448198,2019,39
Burgos,196484,26863,371,4365033,155396,5278110,208072,689535,4380593,2019,9
León,232065,24547,211,4702779,209587,5696590,221730,692459,4782735,2019,24
Palencia,85284,24470,191,1694358,66997,2086911,79906,250925,1756160,2019,34
Salamanca,165975,24569,362,3259531,122914,4077792,146951,509831,3421085,2019,37
Segovia,77101,24558,209,1505678,60991,1893425,73437,232434,1587615,2019,40
Soria,49693,24315,183,986171,32785,1208266,46402,145964,1015933,2019,42
Valladolid,289921,27941,224,6507730,258193,8100745,305912,1109177,6685773,2019,47
Zamora,83983,21386,248,1442438,60501,1796043,65427,194180,1536480,2019,49
Albacete,183127,23259,87,3473078,151411,4259361,179175,503450,3577135,2019,2
Ciudad Real,217194,22943,102,4078900,202483,4983065,202405,582523,4198216,2019,13
Cuenca,92178,21238,239,1570459,80906,1957661,78637,203364,1675729,2019,16
Guadalajara,125248,26814,285,2846285,135118,3358448,146747,429870,2781933,2019,19
Toledo,323260,23190,204,6238022,258520,7496315,329727,864959,6301761,2019,45
Barcelona,2789987,33958,311,73400974,3470303,94742856,3542496,15770893,75464931,2019,8
Girona,353080,28905,221,7852703,298261,10205639,409711,1487613,8308567,2019,17
Lleida,206831,26684,231,4334358,203837,5519045,225300,760222,4533671,2019,25
Tarragona,376416,27500,184,8490903,390533,10351296,422264,1442621,8486689,2019,43
Alicante/Alacant,789491,23348,141,14596212,535840,18433368,754908,2307772,15371296,2019,3
Castellón/Castelló,289546,25164,135,5918275,261685,7286093,306067,968993,6011202,2019,12
Valencia/València,1250209,27016,266,26736593,1263316,33776087,1342925,4760913,27673007,2019,46
Badajoz,297295,20916,165,5037883,243068,6218361,241436,694393,5282625,2019,6
Cáceres,188846,20942,223,3216596,155201,3954864,147573,448139,3359263,2019,10
"Coruña, A",570349,27160,93,12357672,512701,15490763,587688,2189318,12714149,2019,15
Lugo,161708,22281,67,2916500,132471,3603005,137191,429980,3035917,2019,27
Ourense,146293,22496,92,2681925,123556,3291079,117945,389588,2783643,2019,32
Pontevedra,446992,25026,61,9098441,355515,11186283,443796,1447012,9295719,2019,36
Madrid,3449219,37768,179,99869759,4339166,130269129,4494828,22709320,103069005,2019,28
Murcia,648871,24380,45,12742516,617374,15819722,660655,1958111,13201244,2019,30
"Rioja, La",170159,26735,174,3561775,130000,4549283,180331,606286,3762770,2019,26
Ceuta,31336,31504,1,807847,31185,987219,36146,62338,888754,2019,51
Melilla,32015,30175,1,764741,38371,966065,34508,58050,873511,2019,52
Almería,271612,18666,102,4062063,154668,5069813,206119,588590,4275228,2014,4
Cádiz,442255,21760,44,8105705,402192,9623629,387865,1193432,8042520,2014,11
Córdoba,332680,19111,75,5185731,197884,6357850,254535,734713,5368731,2014,14
Granada,369563,20646,169,6099316,348736,7630033,291624,925465,6413155,2014,18
Huelva,207008,19051,79,3346521,155694,3943670,166901,455196,3321671,2014,21
Jaén,284036,17693,97,4067546,223735,5025503,189949,513294,4322330,2014,23
Málaga,592183,21409,103,10062496,545256,12678038,502199,1587386,10589507,2014,29
Sevilla,744065,22624,105,13882844,659675,16833464,688077,2264032,13881883,2014,41
Huesca,110777,22385,202,1896135,92286,2479701,96421,315119,2068194,2014,22
Teruel,69817,20904,235,1173955,52322,1459422,59665,176458,1223333,2014,44
Zaragoza,502642,24806,293,10063024,473786,12468368,496587,1754097,10218062,2014,50
Asturias,511584,24819,78,10452427,595097,12696940,519923,1758402,10418993,2014,33
"Balears, Illes",480427,24692,67,9005983,292332,11862618,458057,1730004,9674794,2014,7
"Palmas, Las",408027,22734,34,7558153,267558,9276126,379865,1241798,7654659,2014,35
Santa Cruz de Tenerife,364146,21605,54,6430895,209562,7867373,315871,1027414,6524350,2014,38
Cantabria,274753,24283,102,5439897,243735,6671902,261219,898010,5512857,2014,39
Albacete,174026,20177,87,2876301,117017,3511340,147466,405236,2958705,2014,2
Ciudad Real,210956,20201,102,3464630,177229,4261615,169586,487110,3605021,2014,13
Cuenca,91117,18619,239,1339119,66740,1696541,65794,173498,1457275,2014,16
Guadalajara,114813,24085,287,2335564,115585,2765324,120837,356920,2287658,2014,19
Toledo,303774,20257,204,5117624,204769,6153468,272023,694078,5187554,2014,45
Burgos,192082,23917,371,3740725,149220,4593949,180574,621725,3791872,2014,9
León,231010,22075,211,4150159,200064,5099630,212045,635059,4253120,2014,24
Palencia,83288,21882,191,1456271,64989,1822526,72040,224883,1525666,2014,34
Salamanca,163462,21539,362,2837711,107325,3520759,128860,448386,2943595,2014,37
Segovia,74175,21664,209,1257096,56816,1606912,61547,197309,1348077,2014,40
Soria,48991,21555,183,839227,30604,1056006,39831,130237,885968,2014,42
Valladolid,274286,24153,225,5457502,237684,6624923,261245,902781,5461056,2014,47
Zamora,85185,19151,248,1271262,60206,1631358,57205,182441,1391739,2014,49
Barcelona,2603069,28890,311,59061658,3046758,75202832,2873612,12097660,60233758,2014,8
Girona,326991,24615,221,6269491,243942,8048738,333456,1126665,6588768,2014,17
Lleida,200217,22866,226,3550506,178153,4578191,185321,601834,3791116,2014,25
Tarragona,348870,24233,184,6935395,313885,8454268,343979,1170084,6940471,2014,43
Badajoz,285004,18668,165,4289179,197333,5320380,203825,592545,4524124,2014,6
Cáceres,187326,18544,223,2819752,138116,3473703,127644,393097,2953058,2014,10
"Coruña, A",545803,22966,93,10246845,429875,12534861,494370,1724128,10316763,2014,15
Lugo,163515,19297,67,2513063,122000,3155415,119393,373970,2662082,2014,27
Ourense,146992,19608,92,2329372,111661,2882218,103462,341073,2437791,2014,32
Pontevedra,415969,21637,62,7442889,299327,9000342,369948,1152613,7477959,2014,36
Madrid,3103908,32281,179,80850687,3524093,100196471,3744629,17668300,78787147,2014,28
Murcia,581017,21290,45,10139966,442996,12369695,521752,1526498,10321689,2014,30
"Rioja, La",161517,23187,173,2931144,127167,3745081,146844,497917,3100423,2014,26
Alicante/Alacant,710954,20454,141,11682083,390941,14541706,594578,1803481,12144125,2014,3
Castellón/Castelló,271357,21605,135,4780016,198825,5862784,245940,774177,4842895,2014,12
Valencia/València,1159927,23100,264,21700744,1067286,26793965,1089864,3660070,22044769,2014,46
Ceuta,27949,30026,1,703394,18298,839200,31440,69792,737972,2014,51
Melilla,27418,28712,1,638331,19218,787228,28439,62132,696663,2014,52
